triplet_id,course_name,topic,agent_id,profile_id,char_count,token_proxy_count,sentence_count,avg_chars_per_sentence,heading_count,list_item_count,formula_marker_count,code_block_count,code_line_count,node_count,edge_count,resource_item_count,jargon_marker_count,citation_count
E1-T-7222dd4cc776,计算机网络,TCP 三次握手,path,P2,968.0,603.0,2.0,484.0,0.0,0.0,1.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0
E1-T-a47c831b7f0e,计算机组成原理,IEEE 754 浮点数,path,P1,955.0,684.0,2.0,477.5,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,1.0,0.0
E1-T-a47c831b7f0e,计算机组成原理,IEEE 754 浮点数,path,P3,712.0,477.0,1.0,712.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,11.0,0.0
E1-T-a47c831b7f0e,计算机组成原理,IEEE 754 浮点数,path,P2,782.0,531.0,1.0,782.0,0.0,0.0,3.0,0.0,0.0,6.0,5.0,0.0,4.0,0.0
E1-T-663efcf7a379,机器学习,K-Means 聚类,reading,P1,1868.0,673.0,22.0,84.9090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0
E1-T-663efcf7a379,机器学习,K-Means 聚类,reading,P3,1989.0,690.0,49.0,40.59183673469388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0
E1-T-663efcf7a379,机器学习,K-Means 聚类,reading,P2,1951.0,678.0,38.0,51.3421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0
E1-T-1f0bbe91bc68,计算机组成原理,IEEE 754 浮点数,code,P1,459.0,235.0,19.0,24.157894736842106,3.0,0.0,4.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
E1-T-1f0bbe91bc68,计算机组成原理,IEEE 754 浮点数,code,P3,766.0,365.0,48.0,15.958333333333334,14.0,0.0,5.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0
E1-T-1f0bbe91bc68,计算机组成原理,IEEE 754 浮点数,code,P2,1368.0,668.0,12.0,114.0,9.0,0.0,20.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0
E1-T-f09f9a8e665c,操作系统,信号量与互斥锁,reading,P2,2011.0,392.0,49.0,41.04081632653061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
E1-T-f09f9a8e665c,操作系统,信号量与互斥锁,reading,P1,1958.0,384.0,36.0,54.388888888888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
E1-T-f09f9a8e665c,操作系统,信号量与互斥锁,reading,P3,1930.0,388.0,45.0,42.888888888888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
E1-T-67da55a87176,计算机网络,HTTPS 与 TLS,reading,P2,1747.0,714.0,29.0,60.241379310344826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0
E1-T-67da55a87176,计算机网络,HTTPS 与 TLS,reading,P3,1776.0,718.0,31.0,57.29032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0
E1-T-67da55a87176,计算机网络,HTTPS 与 TLS,reading,P1,1671.0,672.0,13.0,128.53846153846155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0
E1-T-be00cabaa74e,操作系统,死锁四条件,reading,P3,1869.0,365.0,39.0,47.92307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0
E1-T-be00cabaa74e,操作系统,死锁四条件,reading,P2,1961.0,364.0,29.0,67.62068965517241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0
E1-T-be00cabaa74e,操作系统,死锁四条件,reading,P1,2005.0,376.0,31.0,64.6774193548387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
E1-T-e0bcac123c87,机器学习,K-Means 聚类,doc,P3,2779.0,1344.0,85.0,32.694117647058825,8.0,12.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0
E1-T-e0bcac123c87,机器学习,K-Means 聚类,doc,P2,2070.0,1179.0,72.0,28.75,12.0,15.0,24.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0
E1-T-e0bcac123c87,机器学习,K-Means 聚类,doc,P1,2620.0,1328.0,82.0,31.951219512195124,14.0,12.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0
E1-T-6bf352248bff,操作系统,进程调度,quiz,P3,1228.0,710.0,23.0,53.391304347826086,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
